Timestamp,Object,Confidence,Bounding Box
2025-03-06 03:21:57.597919,person,0.62,"(627, 21, 1916, 1067)"
2025-03-06 03:21:57.598154,toothbrush,0.53,"(697, 89, 1055, 1048)"
2025-03-06 03:21:57.661810,toothbrush,0.67,"(698, 95, 1054, 1049)"
2025-03-06 03:21:57.662006,person,0.64,"(675, 32, 1918, 1068)"
2025-03-06 03:21:57.727129,person,0.66,"(728, 36, 1917, 1068)"
2025-03-06 03:21:57.797129,toothbrush,0.75,"(697, 115, 1050, 1047)"
2025-03-06 03:21:57.797354,person,0.64,"(658, 43, 1917, 1068)"
2025-03-06 03:21:57.864747,person,0.62,"(658, 58, 1918, 1062)"
2025-03-06 03:21:57.931290,person,0.60,"(726, 65, 1918, 1063)"
2025-03-06 03:21:57.931493,person,0.52,"(1136, 83, 1918, 1065)"
2025-03-06 03:21:58.009330,person,0.65,"(1157, 98, 1918, 1065)"
2025-03-06 03:21:58.081744,person,0.57,"(844, 129, 1920, 1060)"
2025-03-06 03:21:58.314977,person,0.53,"(1458, 221, 1918, 1067)"
2025-03-06 03:21:58.478411,person,0.71,"(1609, 301, 1918, 1059)"
2025-03-06 03:21:58.543863,person,0.69,"(1666, 349, 1919, 1061)"
2025-03-06 03:22:00.842219,person,0.62,"(1293, 189, 1919, 1070)"
2025-03-06 03:22:02.950327,toothbrush,0.52,"(428, 98, 843, 1046)"
2025-03-06 03:22:03.017233,toothbrush,0.64,"(400, 117, 821, 1055)"
2025-03-06 03:22:03.280155,toothbrush,0.54,"(408, 119, 808, 1057)"
2025-03-06 03:22:03.484338,toothbrush,0.52,"(407, 85, 820, 1047)"
2025-03-06 03:22:04.045512,toothbrush,0.63,"(411, 100, 821, 1054)"
2025-03-06 03:22:04.111424,toothbrush,0.51,"(413, 104, 820, 1055)"
2025-03-06 03:22:04.179352,toothbrush,0.70,"(427, 111, 837, 1056)"
2025-03-06 03:22:04.248606,toothbrush,0.76,"(441, 112, 836, 1057)"
2025-03-06 03:22:04.509378,toothbrush,0.51,"(422, 101, 864, 1053)"
2025-03-06 03:22:04.576460,toothbrush,0.54,"(429, 103, 845, 1054)"
2025-03-06 03:22:04.645235,toothbrush,0.50,"(428, 113, 848, 1058)"
2025-03-06 03:22:04.710269,toothbrush,0.56,"(427, 117, 841, 1060)"
2025-03-06 03:22:04.916521,toothbrush,0.58,"(430, 116, 855, 1055)"
2025-03-06 03:22:04.976042,toothbrush,0.62,"(434, 112, 854, 1055)"
2025-03-06 03:22:05.044570,toothbrush,0.63,"(434, 112, 856, 1055)"
2025-03-06 03:22:05.177094,toothbrush,0.55,"(434, 114, 857, 1057)"
2025-03-06 03:22:05.244489,toothbrush,0.59,"(434, 113, 853, 1057)"
2025-03-06 03:22:05.310635,toothbrush,0.56,"(435, 113, 854, 1056)"
2025-03-06 03:22:05.376639,toothbrush,0.60,"(435, 116, 847, 1058)"
2025-03-06 03:22:05.508510,toothbrush,0.54,"(436, 117, 851, 1057)"
2025-03-06 03:22:05.575980,toothbrush,0.64,"(436, 116, 851, 1056)"
2025-03-06 03:22:05.646231,toothbrush,0.57,"(437, 113, 853, 1055)"
2025-03-06 03:22:05.777313,toothbrush,0.53,"(437, 116, 852, 1056)"
2025-03-06 03:22:05.847420,toothbrush,0.57,"(437, 120, 849, 1058)"
2025-03-06 03:22:07.294036,remote,0.70,"(355, 20, 745, 1033)"
2025-03-06 03:22:07.295073,person,0.52,"(18, 144, 1900, 1065)"
2025-03-06 03:22:07.350122,person,0.55,"(30, 78, 1891, 1065)"
2025-03-06 03:22:07.422501,person,0.63,"(94, 99, 1902, 1065)"
2025-03-06 03:22:07.487676,person,0.50,"(783, 62, 1919, 1065)"
2025-03-06 03:22:07.553009,remote,0.75,"(278, 24, 683, 1018)"
2025-03-06 03:22:07.553275,person,0.62,"(275, 177, 1899, 1071)"
2025-03-06 03:22:07.616251,person,0.73,"(213, 20, 1899, 1067)"
2025-03-06 03:22:07.616462,remote,0.59,"(263, 7, 675, 992)"
2025-03-06 03:22:07.683675,remote,0.70,"(238, 11, 655, 952)"
2025-03-06 03:22:07.683928,person,0.68,"(280, 68, 1904, 1071)"
2025-03-06 03:22:07.754093,person,0.73,"(244, 23, 1909, 1068)"
2025-03-06 03:22:07.754345,remote,0.65,"(207, 5, 641, 895)"
2025-03-06 03:22:07.819414,person,0.74,"(302, 2, 1911, 1066)"
2025-03-06 03:22:07.819726,remote,0.61,"(197, 4, 656, 865)"
2025-03-06 03:22:07.883356,person,0.74,"(303, 3, 1912, 1069)"
2025-03-06 03:22:07.883927,remote,0.68,"(201, 4, 648, 875)"
2025-03-06 03:22:07.951426,person,0.74,"(434, 14, 1911, 1066)"
2025-03-06 03:22:07.951682,remote,0.59,"(214, 7, 635, 913)"
2025-03-06 03:22:08.017821,remote,0.80,"(227, 11, 615, 977)"
2025-03-06 03:22:08.018236,person,0.77,"(536, 62, 1919, 1066)"
2025-03-06 03:22:08.081588,remote,0.83,"(232, 13, 621, 1015)"
2025-03-06 03:22:08.081811,person,0.54,"(155, 43, 1916, 1065)"
2025-03-06 03:22:08.168372,remote,0.74,"(217, 7, 630, 1040)"
2025-03-06 03:22:08.168650,person,0.68,"(532, 54, 1917, 1067)"
2025-03-06 03:22:08.251744,person,0.68,"(573, 62, 1915, 1067)"
